source_path,source_column,standardized_column,units,direction,representation,notes
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,exceed_frac_abs_delta_p90,exceed_abs_p90,fraction,lower_is_better,threshold_geometry,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,exceed_frac_abs_delta_t10,exceed_abs_t10,fraction,lower_is_better,threshold_geometry,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,exceed_frac_abs_delta_t15,exceed_abs_t15,fraction,lower_is_better,threshold_geometry,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,exceed_frac_abs_delta_t5,exceed_abs_t5,fraction,lower_is_better,threshold_geometry,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,grad_kurtosis_abs_delta,grad_kurtosis_abs_delta,unitless,lower_is_better,gradient_distribution,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,grad_mae,grad_mae,m/s per pixel,lower_is_better,gradient_distribution,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,grad_w1,grad_w1,m/s per pixel (Wasserstein-1),lower_is_better,gradient_distribution,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,mt_distance,mt_distance,merge-tree distance,lower_is_better,topology_mt,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,pd_distance,pd_distance,bottleneck/Wasserstein PD distance,lower_is_better,topology_pd,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,psd_log_l2,psd_log_l2,log-power L2,lower_is_better,frequency_domain,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,psd_slope_abs_delta,psd_slope_abs_delta,unitless (spectral slope),lower_is_better,frequency_domain,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,psnr,psnruv,dB,higher_is_better,vector_uv,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,ssim,ssim_speed,unitless,higher_is_better,scalar_speed,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,wpd_mae,wpd_mae,m^3/s^3,lower_is_better,wind_power_distribution,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,wpd_w1,wpd_w1,m^3/s^3 (Wasserstein-1),lower_is_better,wind_power_distribution,Legacy cnn/gan-only pipeline; used as the topology (PD/MT) source of record and as a cheap-metric fallback when no harvested candidate-eval baseline row is available.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,wpd_bias,wpd_bias_abs,m^3/s^3,lower_is_better,wind_power_distribution,Standardized column is abs(wpd_bias); source stores the signed value.
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),speed_mae,m/s,lower_is_better,scalar_speed,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),speed_rmse,m/s,lower_is_better,scalar_speed,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),comp_curve_l1,component count (L1 over threshold curve),lower_is_better,threshold_geometry,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),comp_abs_t5,component count,lower_is_better,threshold_geometry,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),comp_abs_t10,component count,lower_is_better,threshold_geometry,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,(not present),comp_abs_t15,component count,lower_is_better,threshold_geometry,This legacy pipeline predates speed_mae/speed_rmse/component-count metrics; sourced instead from harvested ttk_runs_fixed/topology_finetuning/*_eval/all_sample_metrics_*.csv baseline rows when at least one such file exists (see harvest_baseline_rows()).
ttk_runs_fixed/topology_finetuning/<method>_eval/all_sample_metrics_<method>.csv (scripts/evaluate_finetune_candidate.py schema; also the source harvested for repeated bicubic/cnn/gan baseline rows),comp_abs_delta_t10,comp_abs_t10,component count,lower_is_better,threshold_geometry,Full candidate/baseline schema written by evaluate_finetune_candidate.py.
ttk_runs_fixed/topology_finetuning/<method>_eval/all_sample_metrics_<method>.csv (scripts/evaluate_finetune_candidate.py schema; also the source harvested for repeated bicubic/cnn/gan baseline rows),comp_abs_delta_t15,comp_abs_t15,component count,lower_is_better,threshold_geometry,Full candidate/baseline schema written by evaluate_finetune_candidate.py.
ttk_runs_fixed/topology_finetuning/<method>_eval/all_sample_metrics_<method>.csv (scripts/evaluate_finetune_candidate.py schema; also the source harvested for repeated bicubic/cnn/gan baseline rows),comp_abs_delta_t5,comp_abs_t5,component count,lower_is_better,threshold_geometry,Full candidate/baseline schema written by evaluate_finetune_candidate.py.
ttk_runs_fixed/topology_finetuning/<method>_eval/all_sample_metrics_<method>.csv (scripts/evaluate_finetune_candidate.py schema; also the source harvested for repeated bicubic/cnn/gan baseline rows),comp_curve_l1,comp_curve_l1,component count (L1 over threshold curve),lower_is_better,threshold_geometry,Full candidate/baseline schema written by evaluate_finetune_candidate.py.
ttk_runs_fixed/topology_finetuning/<method>_eval/all_sample_metrics_<method>.csv (scripts/evaluate_finetune_candidate.py schema; also the source harvested for repeated bicubic/cnn/gan baseline rows),exceed_abs_p90,exceed_abs_p90,fraction,lower_is_better,threshold_geometry,Full candidate/baseline schema written by evaluate_finetune_candidate.py.
