metric,psnruv,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
psnruv,1.0,0.3753822427841951,0.4678034168102987,0.332459536744417,0.08272786543680537,0.0828521412586815,0.1536644681831245,-0.032893722078660675,0.09972586506381814,-0.029098541110247577,-0.1349453714566227,0.03495809388381297,0.04160635574809638,0.0386780288902212,-0.13006317471765913,-0.017586017324862542,0.05880905649337764,-0.00794530023109418,-0.019765511149744956,0.006785283702554325,0.1153602862552431
speed_mae,0.3753822427841951,1.0,0.9124314124053623,0.7871829824299114,0.2082064128785865,0.2911503623255449,0.16076657402738273,-0.36677188981675235,0.05910308840904934,-0.23782983343927228,-0.1992839614393684,-0.2258208459230569,0.2566722230479842,0.13490547522553542,0.06178731418622265,-0.1755218123178025,0.18662516095883855,-0.009162261113927634,-0.2803192647693788,-0.1516381297107848,0.09796232860587957
speed_rmse,0.4678034168102987,0.9124314124053623,1.0,0.7258508503039496,0.12291369404747951,0.19904259219183915,0.08302854756616136,-0.43383087085091604,0.07221235733461856,-0.246287184320689,-0.18235547195527427,-0.24612137745306828,0.2248434987557648,0.07181997369607884,-0.061119111690533134,-0.2530415535444562,0.14378491761915171,-0.03312819192531256,-0.2969051019960913,-0.1258530031401652,0.13529921352884694
wpd_mae,0.332459536744417,0.7871829824299114,0.7258508503039496,1.0,0.2872792680854731,0.3367728069835862,0.3158141449532669,-0.12200428741899975,0.016680723380337718,-0.09721581461458,-0.07414266450808295,-0.16630910145478842,0.23579632313544965,0.22060111580301994,0.14883388168189812,0.08930508620716754,0.28626235842736947,0.11378516603594627,-0.15638251119891824,-0.15371431340005604,0.12427116320028238
wpd_w1,0.08272786543680537,0.2082064128785865,0.12291369404747951,0.2872792680854731,1.0,0.8984928549204321,0.5717229644413333,0.47142758435642634,-0.051069776371241625,0.20841412898758155,0.08201628500936005,0.2760407502994245,0.1565644246746875,0.8171994849279921,0.5933912235483632,0.43097544354202005,-0.10974559107525445,-0.00938453905221855,0.4023842336706582,0.14357163664865225,0.14757258499477247
wpd_bias_abs,0.0828521412586815,0.2911503623255449,0.19904259219183915,0.3367728069835862,0.8984928549204321,1.0,0.4327825431898911,0.3024471801670752,-0.02337884840130313,0.1261781089965989,-0.027553974292610698,0.1540562847590794,0.26693573552787436,0.6899259761152533,0.6402599338711049,0.29611314279372175,-0.014989425318728343,0.01795457199054612,0.21487422606638454,0.06937858507401105,0.11128750635351543
grad_mae,0.1536644681831245,0.16076657402738273,0.08302854756616136,0.3158141449532669,0.5717229644413333,0.4327825431898911,1.0,0.6629219828706986,-0.10636553026470899,0.25580680518338533,0.07810111824891182,0.3622582729332836,0.007026178182717074,0.5094165256164157,0.44082937769922503,0.5924286075204789,-0.08861486730525858,0.16893570872364772,0.4066510580745466,0.2991677557632509,0.20129815799800463
grad_w1,-0.032893722078660675,-0.36677188981675235,-0.43383087085091604,-0.12200428741899975,0.47142758435642634,0.3024471801670752,0.6629219828706986,1.0,-0.07732434169152637,0.5047545566483512,0.22389654486516417,0.4751446452355598,-0.15655682534084342,0.43187555618538964,0.33098820523494016,0.6762808984541375,-0.25246807499661905,0.14461367719929807,0.6425517547090209,0.33667007661624687,0.08235278796792043
grad_kurtosis_abs_delta,0.09972586506381814,0.05910308840904934,0.07221235733461856,0.016680723380337718,-0.051069776371241625,-0.02337884840130313,-0.10636553026470899,-0.07732434169152637,1.0,-0.013101192142803298,-0.01393076739290025,-0.11488539042672362,-0.01227593348848426,-0.024371041330927243,-0.06999711259904962,-0.09651727283029439,-0.05016536688599913,-0.04196221003264755,-0.005066105648059491,-0.1418319066699664,0.006739474601321653
psd_log_l2,-0.029098541110247577,-0.23782983343927228,-0.246287184320689,-0.09721581461458,0.20841412898758155,0.1261781089965989,0.25580680518338533,0.5047545566483512,-0.013101192142803298,1.0,0.5868897452567883,0.21461412387378628,-0.15746101028683332,0.19402251189655287,0.05657561864329529,0.4117726996682953,-0.15336324602887988,0.016035090752229853,0.4693638707259807,0.22698954784059888,-0.005714744829411175
